
Line 1: pub fn demo() -> i32 {
[TOKEN] Type: IDENTIFIER      | Value: pub             | Line: 1   | Position: 0
[TOKEN] Type: FN              | Value: fn              | Line: 1   | Position: 4
[TOKEN] Type: IDENTIFIER      | Value: demo            | Line: 1   | Position: 7
[TOKEN] Type: LPAREN          | Value: (               | Line: 1   | Position: 11
[TOKEN] Type: RPAREN          | Value: )               | Line: 1   | Position: 12
[TOKEN] Type: ARROW           | Value: ->              | Line: 1   | Position: 14
[TOKEN] Type: TYPE_I32        | Value: i32             | Line: 1   | Position: 17
[TOKEN] Type: LBRACE          | Value: {               | Line: 1   | Position: 21

Line 2: let a = [1, 2, 3, 4];
[TOKEN] Type: LET             | Value: let             | Line: 2   | Position: 4
[TOKEN] Type: IDENTIFIER      | Value: a               | Line: 2   | Position: 8
[TOKEN] Type: ASIGNED_TO      | Value: =               | Line: 2   | Position: 10
[TOKEN] Type: LBRACKET        | Value: [               | Line: 2   | Position: 12
[TOKEN] Type: INTEGER         | Value: 1               | Line: 2   | Position: 13
[TOKEN] Type: COMMA           | Value: ,               | Line: 2   | Position: 14
[TOKEN] Type: INTEGER         | Value: 2               | Line: 2   | Position: 16
[TOKEN] Type: COMMA           | Value: ,               | Line: 2   | Position: 17
[TOKEN] Type: INTEGER         | Value: 3               | Line: 2   | Position: 19
[TOKEN] Type: COMMA           | Value: ,               | Line: 2   | Position: 20
[TOKEN] Type: INTEGER         | Value: 4               | Line: 2   | Position: 22
[TOKEN] Type: RBRACKET        | Value: ]               | Line: 2   | Position: 23
[TOKEN] Type: SEMICOLON       | Value: ;               | Line: 2   | Position: 24

Line 3: let tercero = a[2];
[TOKEN] Type: LET             | Value: let             | Line: 3   | Position: 4
[TOKEN] Type: IDENTIFIER      | Value: tercero         | Line: 3   | Position: 8
[TOKEN] Type: ASIGNED_TO      | Value: =               | Line: 3   | Position: 16
[TOKEN] Type: IDENTIFIER      | Value: a               | Line: 3   | Position: 18
[TOKEN] Type: LBRACKET        | Value: [               | Line: 3   | Position: 19
[TOKEN] Type: INTEGER         | Value: 2               | Line: 3   | Position: 20
[TOKEN] Type: RBRACKET        | Value: ]               | Line: 3   | Position: 21
[TOKEN] Type: SEMICOLON       | Value: ;               | Line: 3   | Position: 22

Line 4: 

Line 5: let zeros = [0; 5];
[TOKEN] Type: LET             | Value: let             | Line: 5   | Position: 4
[TOKEN] Type: IDENTIFIER      | Value: zeros           | Line: 5   | Position: 8
[TOKEN] Type: ASIGNED_TO      | Value: =               | Line: 5   | Position: 14
[TOKEN] Type: LBRACKET        | Value: [               | Line: 5   | Position: 16
[TOKEN] Type: INTEGER         | Value: 0               | Line: 5   | Position: 17
[TOKEN] Type: SEMICOLON       | Value: ;               | Line: 5   | Position: 18
[TOKEN] Type: INTEGER         | Value: 5               | Line: 5   | Position: 20
[TOKEN] Type: RBRACKET        | Value: ]               | Line: 5   | Position: 21
[TOKEN] Type: SEMICOLON       | Value: ;               | Line: 5   | Position: 22

Line 6: 

Line 7: let s1 = &a[1..3];
[TOKEN] Type: LET             | Value: let             | Line: 7   | Position: 4
[TOKEN] Type: IDENTIFIER      | Value: s1              | Line: 7   | Position: 8
[TOKEN] Type: ASIGNED_TO      | Value: =               | Line: 7   | Position: 11
[TOKEN] Type: BIT_AND         | Value: &               | Line: 7   | Position: 13
[TOKEN] Type: IDENTIFIER      | Value: a               | Line: 7   | Position: 14
